注文番号,商品コード,商品名,数量,種別,適用サイズ_実績,適用サイズ_予測,総数量,充填率,lx,ly,lz
5,23544,ﾓｲｽﾁｭｱｹｱﾌﾙｶﾊﾞｰｺﾝｼｰﾗｰﾅﾁｭﾗﾙｵｰｸﾙ01 2.2g,1,up（GLPK）,60サイズ,80サイズ,4,0.874949,39,38,30
6,23340,ﾌﾟﾚﾐｱﾑｶﾗｰﾄﾘｰﾄﾒﾝﾄ(ﾀﾞｰｸﾌﾞﾗｳﾝ),1,up（GLPK）,60サイズ,80サイズ,3,0.935812,220,63,50
6,2371,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ専用ｼｪｰｶｰｺｯﾌﾟ,1,up（GLPK）,60サイズ,80サイズ,3,0.935812,192,87,87
6,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（GLPK）,60サイズ,80サイズ,3,0.935812,210,165,125
7,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（GLPK）,60サイズ,80サイズ,2,0.98544,210,165,125
7,70026,ｺﾗｰｹﾞﾝﾋﾞｭｰﾃｨ9000ﾌﾟﾗｽ,1,up（GLPK）,60サイズ,80サイズ,2,0.98544,182,152,90
8,23376,ﾌﾚｰﾑｷｰﾌﾟﾘｷｯﾄﾞｱｲﾗｲﾅｰﾌﾞﾗｯｸ,1,up（GLPK）,80サイズ,100サイズ,4,1.065649,129,20,14
8,2371,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ専用ｼｪｰｶｰｺｯﾌﾟ,1,up（GLPK）,80サイズ,100サイズ,4,1.065649,192,87,87
8,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（GLPK）,80サイズ,100サイズ,4,1.065649,210,165,125
8,70099,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｽｰﾌﾟﾊﾟｽﾀ（15袋入）,1,up（GLPK）,80サイズ,100サイズ,4,1.065649,248,247,162
9,152457200,本革2WAYショルダーベージュなし,1,up（GLPK）,80サイズ,100サイズ,1,1.069095,390,270,150
10,32628,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ(いちごﾐﾙｸ味),1,up（GLPK）,60サイズ,80サイズ,4,1.286524,165,132,70
10,32628,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ(いちごﾐﾙｸ味),1,up（GLPK）,60サイズ,80サイズ,4,1.286524,165,132,70
10,32628,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ(いちごﾐﾙｸ味),1,up（GLPK）,60サイズ,80サイズ,4,1.286524,165,132,70
10,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（GLPK）,60サイズ,80サイズ,4,1.286524,210,165,125
11,32628,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ(いちごﾐﾙｸ味),1,up（GLPK）,60サイズ,80サイズ,3,1.291179,165,132,70
11,32740,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｽﾑｰｼﾞｰ,1,up（GLPK）,60サイズ,80サイズ,3,1.291179,190,153,106
11,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（GLPK）,60サイズ,80サイズ,3,1.291179,210,165,125
12,32605,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｹｰｷ　ｽｲｰﾂｾﾚｸｼｮﾝ,2,up（GLPK）,60サイズ,80サイズ,2,1.301542,210,165,130
13,32740,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｽﾑｰｼﾞｰ,3,up（GLPK）,60サイズ,80サイズ,3,1.33553,190,153,106
14,32740,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｽﾑｰｼﾞｰ,3,up（GLPK）,60サイズ,80サイズ,3,1.33553,190,153,106
15,2124,青汁+豆乳 30缶入 190g*30缶,1,up（GLPK）,60サイズ,100サイズ,3,1.368299,320,266,107
15,2161,30日 ﾌﾞﾙｰﾍﾞﾘｰｴｷｽ 60粒,1,up（GLPK）,60サイズ,100サイズ,3,1.368299,169,100,9
15,70086,30日ﾊﾟｰﾌｪｸﾄｻﾌﾟﾘ ﾏﾙﾁﾋﾞﾀﾐﾝ＆ﾐﾈﾗﾙ,1,up（GLPK）,60サイズ,100サイズ,3,1.368299,170,138,9
16,32626,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ(15袋入),1,up（GLPK）,60サイズ,100サイズ,2,2.059398,210,165,125
16,70099,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｽｰﾌﾟﾊﾟｽﾀ（15袋入）,1,up（GLPK）,60サイズ,100サイズ,2,2.059398,248,247,162
19,150864203,UV美肌・つやカーデ (コラーゲン加工)オフホワイトM,1,up（機械学習）,60サイズ,80サイズ,3,1.022857,390,295,25
19,152415403,UV美肌・洗える綿混Vネックカーデ (遮熱)ネイビーM,1,up（機械学習）,60サイズ,80サイズ,3,1.022857,420,295,20
19,153184203,速乾アクアブリーズ・フレアカットソーオフホワイトM,1,up（機械学習）,60サイズ,80サイズ,3,1.022857,390,295,15
20,147454203,スリーブレスカットソー (LOC)オフホワイトM,1,up（機械学習）,60サイズ,80サイズ,4,1.026721,390,290,10
20,150968404,至高のイージージャージー・カットソーダークブラウンL,1,up（機械学習）,60サイズ,80サイズ,4,1.026721,340,250,20
20,150988404,至高のイージージャージー・スカートダークブラウンL,1,up（機械学習）,60サイズ,80サイズ,4,1.026721,340,250,30
20,153184205,速乾アクアブリーズ・フレアカットソーオフホワイトLL,1,up（機械学習）,60サイズ,80サイズ,4,1.026721,390,295,15
21,539529404,2枚組・大人のシェイプタンク (カップ付き)ブラックL,1,up（機械学習）,60サイズ,80サイズ,3,1.039904,360,240,70
21,539949403,お腹を細く見せるシェイプショーツブラックM,1,up（機械学習）,60サイズ,80サイズ,3,1.039904,250,230,10
21,539949403,お腹を細く見せるシェイプショーツブラックM,1,up（機械学習）,60サイズ,80サイズ,3,1.039904,250,230,10
22,148538223,落ち感タックキュロットモカブラウン9号,1,up（機械学習）,60サイズ,80サイズ,3,1.131395,430,325,20
22,151193224,吸水速乾さらさらパンツスモーキーグリーン11号,1,up（機械学習）,60サイズ,80サイズ,3,1.131395,390,295,40
22,153149103,着心地ラクなギャザーカットソー (接触冷感)ライトグレーM,1,up（機械学習）,60サイズ,80サイズ,3,1.131395,385,282,4
24,152607800,リュックになる肩掛けバッググレージュなし,1,up（機械学習）,80サイズ,100サイズ,2,1.255907,430,420,90
24,153284303,ストレッチレースカットソーアイボリーM,1,up（機械学習）,80サイズ,100サイズ,2,1.255907,390,295,20
25,23340,ﾌﾟﾚﾐｱﾑｶﾗｰﾄﾘｰﾄﾒﾝﾄ(ﾀﾞｰｸﾌﾞﾗｳﾝ),1,up（機械学習）,60サイズ,80サイズ,4,1.260751,220,63,50
25,535803104,着る・ガーゼケットのトップスミントL,1,up（機械学習）,60サイズ,80サイズ,4,1.260751,350,310,30
25,537727705,癒しのふわっとコットン・ナイトブラピンクベージュLL,1,up（機械学習）,60サイズ,80サイズ,4,1.260751,360,220,60
25,767,ｱｲﾌﾞﾛｰﾊﾟｰﾌｪｸﾄﾌﾟﾛ(ﾍﾟﾝｼﾙ)　EB01 ,1,up（機械学習）,60サイズ,80サイズ,4,1.260751,68,28,14
27,23569,ﾊﾟｰﾌｪｸﾄUVﾐﾙｸ　50ml,1,up（機械学習）,80サイズ,100サイズ,5,1.276269,97,52,30
27,2371,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ専用ｼｪｰｶｰｺｯﾌﾟ,1,up（機械学習）,80サイズ,100サイズ,5,1.276269,192,87,87
27,539303105,綿混速乾ブラトップ・タンク (アンダーがラク仕様)ミントLL,1,up（機械学習）,80サイズ,100サイズ,5,1.276269,380,340,50
27,539303105,綿混速乾ブラトップ・タンク (アンダーがラク仕様)ミントLL,1,up（機械学習）,80サイズ,100サイズ,5,1.276269,380,340,50
27,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（機械学習）,80サイズ,100サイズ,5,1.276269,210,165,125
28,147533422,ユースフル・綿サテン9分丈パンツグリーン7号,1,up（機械学習）,60サイズ,80サイズ,3,1.422175,400,295,35
28,147533422,ユースフル・綿サテン9分丈パンツグリーン7号,1,up（機械学習）,60サイズ,80サイズ,3,1.422175,400,295,35
28,539325103,速く乾くノンワイヤーブラサックスM,1,up（機械学習）,60サイズ,80サイズ,3,1.422175,360,220,20
29,149369903,滑りにくいソール・スリッポンシャンパンM,1,up（機械学習）,60サイズ,80サイズ,3,1.532197,320,290,105
29,540610633,ぐーっぱっとひらくソックス (ハワイアン柄)ピンク系22-25cm,1,up（機械学習）,60サイズ,80サイズ,3,1.532197,146,98,31
29,540618833,ぐーっぱっとひらくソックス (ハワイアン柄)グレー系22-25cm,1,up（機械学習）,60サイズ,80サイズ,3,1.532197,176,95,25
30,151083524,ストレッチツイルパンツカーキ11号,1,up（機械学習）,60サイズ,80サイズ,3,1.588461,450,295,40
30,151083524,ストレッチツイルパンツカーキ11号,1,up（機械学習）,60サイズ,80サイズ,3,1.588461,450,295,40
30,540213103,すーっと風通るガードルミントM,1,up（機械学習）,60サイズ,80サイズ,3,1.588461,250,150,10
33,151169203,UV美肌シアーパーカーグレーM,1,up（GA）,100サイズ,,9,,310,220,25
33,152599200,整頓上手・10ポケットショルダーグレーなし,1,up（GA）,100サイズ,,9,,460,330,100
33,152637200,スマートに持てる格上げショルダーベージュなし,1,up（GA）,100サイズ,,9,,310,280,115
33,539313103,綿混速乾ブラトップ・キャミ (アンダーがラク仕様)ミントM,2,up（GA）,100サイズ,,9,,320,210,30
33,539318303,綿混速乾ブラトップ・キャミ (アンダーがラク仕様)ブラウンM,2,up（GA）,100サイズ,,9,,345,242,29
33,539319403,綿混速乾ブラトップ・キャミ (アンダーがラク仕様)ブラックM,2,up（GA）,100サイズ,,9,,348,263,26
34,153252203,ドライワッシャー・オーバーシャツテラコッタM,1,up（GA）,80サイズ,,8,,400,295,20
34,153252203,ドライワッシャー・オーバーシャツテラコッタM,1,up（GA）,80サイズ,,8,,400,295,20
34,153252203,ドライワッシャー・オーバーシャツテラコッタM,1,up（GA）,80サイズ,,8,,400,295,20
34,153262223,ドライワッシャー・バルーンワンピ-ステラコッタ9号,1,up（GA）,80サイズ,,8,,530,370,15
34,153275323,涼やかパンツ・ギャザーワイドブルー9号,1,up（GA）,80サイズ,,8,,400,350,25
34,153275323,涼やかパンツ・ギャザーワイドブルー9号,1,up（GA）,80サイズ,,8,,400,350,25
34,153275323,涼やかパンツ・ギャザーワイドブルー9号,1,up（GA）,80サイズ,,8,,400,350,25
34,153305323,軽やかシャーリングスカートブルー9号,1,up（GA）,80サイズ,,8,,520,370,25
35,150664204,ハーフスリーブカットソー (LOC)オフホワイトL,1,up（GA）,80サイズ,,8,,370,295,15
35,151022700,クールタオルガーゼ・ミニマフラーイエロー系なし,1,up（GA）,80サイズ,,8,,186,168,7
35,151025300,クールタオルガーゼ・ミニマフラーブルーなし,1,up（GA）,80サイズ,,8,,190,180,10
35,151395404,UV美肌・ノンアイロンコンビカーディガンネイビーL,1,up（GA）,80サイズ,,8,,340,250,20
35,152879100,蒸れにくい遮光つば広ハットライトグレーなし,1,up（GA）,80サイズ,,8,,350,320,120
35,153075404,さわやかメッシュプリーツパンツネイビーL,1,up（GA）,80サイズ,,8,,410,295,30
35,153216124,ソフトダブルガーゼ・半袖マチ付きスキッパーシャツラベンダー11号,1,up（GA）,80サイズ,,8,,450,295,15
35,537727705,癒しのふわっとコットン・ナイトブラピンクベージュLL,1,up（GA）,80サイズ,,8,,360,220,60
36,152879400,蒸れにくい遮光つば広ハットブラックなし,1,up（GA）,100サイズ,,6,,370,230,67
36,539477804,新感覚骨盤底筋ショーツ (yurari)グレージュL,3,up（GA）,100サイズ,,6,,250,200,20
36,539700200,骨盤底筋しめ活クッション (yurarix)ピンクなし,1,up（GA）,100サイズ,,6,,450,340,90
36,540708800,持ち歩ける氷のう (保冷ケース付き)グレー系なし,1,up（GA）,100サイズ,,6,,120,120,70
37,151083524,ストレッチツイルパンツカーキ11号,1,up（GA）,100サイズ,,8,,450,295,40
37,151083524,ストレッチツイルパンツカーキ11号,1,up（GA）,100サイズ,,8,,450,295,40
37,151089452,ストレッチツイルパンツブラック9号短め丈,1,up（GA）,100サイズ,,8,,450,295,40
37,152637200,スマートに持てる格上げショルダーベージュなし,1,up（GA）,100サイズ,,8,,310,280,115
37,152915402,ほぼ透けないモックネックカットソーネイビーS,1,up（GA）,100サイズ,,8,,400,295,20
37,153035402,足裏よろこぶフットベッドサンダルネイビーS,1,up（GA）,100サイズ,,8,,320,285,100
37,153145402,着心地ラクなギャザーカットソー (接触冷感)ネイビーS,1,up（GA）,100サイズ,,8,,370,295,20
37,153145402,着心地ラクなギャザーカットソー (接触冷感)ネイビーS,1,up（GA）,100サイズ,,8,,370,295,20
38,152415403,UV美肌・洗える綿混Vネックカーデ (遮熱)ネイビーM,1,up（GA）,100サイズ,,11,,420,295,20
38,152415403,UV美肌・洗える綿混Vネックカーデ (遮熱)ネイビーM,1,up（GA）,100サイズ,,11,,420,295,20
38,153184203,速乾アクアブリーズ・フレアカットソーオフホワイトM,1,up（GA）,100サイズ,,11,,390,295,15
38,23575,ﾃﾞｨｰﾌﾟ ｸﾚﾝｼﾞﾝｸﾞ ﾊﾞｰﾑ 90g,2,up（GA）,100サイズ,,11,,73,73,59
38,32675,30日 ｷﾞｬﾊﾞ(GABA),3,up（GA）,100サイズ,,11,,169,100,10
38,535077658,ソフトモールドブラモカC75,1,up（GA）,100サイズ,,11,,350,250,70
38,539700200,骨盤底筋しめ活クッション (yurarix)ピンクなし,1,up（GA）,100サイズ,,11,,450,340,90
38,897,ｴｯｾﾝｼｬﾙｵｲﾙ ﾗﾍﾞﾝﾀﾞｰ,1,up（GA）,100サイズ,,11,,63,30,30
39,153262223,ドライワッシャー・バルーンワンピ-ステラコッタ9号,1,up（GA）,80サイズ,,6,,530,370,15
39,2253,30日 香酢 90粒,4,up（GA）,80サイズ,,6,,170,100,9
39,536557803,つめたッペチグレージュM,1,up（GA）,80サイズ,,6,,300,290,5
40,22174,PAﾅﾉｺﾛｲﾄﾞﾐｽﾄ,5,up（GA）,60サイズ,,7,,178,178,178
40,22584,ｱｽﾀCｵｰﾙｲﾝﾜﾝｼﾞｪﾙ,1,up（GA）,60サイズ,,7,,77,76,60
40,23573,ﾜﾝﾀﾞｰｶﾊﾞｰﾌｨﾆｯｼﾝｸﾞﾊﾟｳﾀﾞｰ a 7g,1,up（GA）,60サイズ,,7,,72,72,28
41,151359422,ダブルクロス・フレアジレブラック7号,2,up（GA）,80サイズ,,6,,520,410,20
41,153184203,速乾アクアブリーズ・フレアカットソーオフホワイトM,1,up（GA）,80サイズ,,6,,390,295,15
41,153194205,速乾アクアブリーズ・タックカットソーオフホワイトLL,1,up（GA）,80サイズ,,6,,350,250,10
41,153209405,速乾アクアブリーズ・リラックスパンツブラックLL,1,up（GA）,80サイズ,,6,,400,295,30
41,540708800,持ち歩ける氷のう (保冷ケース付き)グレー系なし,1,up（GA）,80サイズ,,6,,120,120,70
42,70091,30日EPAﾌﾟﾚﾐｱﾑ,4,サプリ結合,60サイズ,ネコポス,4,1.622856,170,138,22
43,70091,30日EPAﾌﾟﾚﾐｱﾑ,4,サプリ結合,60サイズ,ネコポス,4,1.622856,170,138,22
44,32662,30日 ｸﾞﾙｺｻﾐﾝ2000,4,サプリ結合,60サイズ,ネコポス,4,1.475323,170,138,20
45,32674,30日 DHA,3,サプリ結合,60サイズ,ネコポス,5,1.309349,170,138,9
45,70091,30日EPAﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,5,1.309349,170,138,22
46,70091,30日EPAﾌﾟﾚﾐｱﾑ,3,サプリ結合,60サイズ,ネコポス,3,1.217142,170,138,22
47,32182,30日 醗酵黒ｾｻﾐﾝ+ｽﾀﾐﾅ,2,サプリ結合,60サイズ,ネコポス,4,1.224091,170,140,13
47,32662,30日 ｸﾞﾙｺｻﾐﾝ2000,2,サプリ結合,60サイズ,ネコポス,4,1.224091,170,138,20
48,32675,30日 ｷﾞｬﾊﾞ(GABA),3,サプリ結合,60サイズ,ネコポス,5,1.209973,169,100,10
48,70091,30日EPAﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,5,1.209973,170,138,22
49,32674,30日 DHA,2,サプリ結合,60サイズ,ネコポス,4,1.143376,170,138,9
49,70091,30日EPAﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,4,1.143376,170,138,22
50,2161,30日 ﾌﾞﾙｰﾍﾞﾘｰｴｷｽ 60粒,1,サプリ結合,60サイズ,ネコポス,5,1.129443,169,100,9
50,32675,30日 ｷﾞｬﾊﾞ(GABA),2,サプリ結合,60サイズ,ネコポス,5,1.129443,168,99,9
50,32576,30日 国産ﾊﾟｰﾌｪｸﾄ野菜ﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,5,1.129443,170,138,21
51,2216,30日 ﾆｭｰｽﾘﾑ 120粒,1,サプリ結合,60サイズ,ネコポス,3,1.035933,170,140,12
51,70091,30日EPAﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,3,1.035933,170,138,22
52,32165,30日 ﾋｱﾙﾛﾝ酸,1,サプリ結合,60サイズ,ネコポス,4,1.006943,169,100,5
52,32576,30日 国産ﾊﾟｰﾌｪｸﾄ野菜ﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,4,1.006943,170,138,21
52,70086,30日ﾊﾟｰﾌｪｸﾄｻﾌﾟﾘ ﾏﾙﾁﾋﾞﾀﾐﾝ＆ﾐﾈﾗﾙ,1,サプリ結合,60サイズ,ネコポス,4,1.006943,170,138,9
53,32182,30日 醗酵黒ｾｻﾐﾝ+ｽﾀﾐﾅ,1,サプリ結合,60サイズ,ネコポス,5,1.029645,170,140,13
53,32194,30日 ｶﾙｼｳﾑ+CBP,1,サプリ結合,60サイズ,ネコポス,5,1.029645,169,100,12
53,32296,30日 ｵﾙﾆﾁﾝ,1,サプリ結合,60サイズ,ネコポス,5,1.029645,170,138,16
53,32674,30日 DHA,1,サプリ結合,60サイズ,ネコポス,5,1.029645,170,138,9
53,70086,30日ﾊﾟｰﾌｪｸﾄｻﾌﾟﾘ ﾏﾙﾁﾋﾞﾀﾐﾝ＆ﾐﾈﾗﾙ,1,サプリ結合,60サイズ,ネコポス,5,1.029645,170,138,9
54,32214,90日 通販 濃縮ｳｺﾝ,2,サプリ結合,60サイズ,ネコポス,4,0.80341,168,119,15
54,70086,30日ﾊﾟｰﾌｪｸﾄｻﾌﾟﾘ ﾏﾙﾁﾋﾞﾀﾐﾝ＆ﾐﾈﾗﾙ,2,サプリ結合,60サイズ,ネコポス,4,0.80341,170,138,9
55,32387,30日 肝臓ｴｷｽ+ｵﾙﾆﾁﾝ,2,サプリ結合,60サイズ,ネコポス,5,0.799668,170,140,10
55,32674,30日 DHA,2,サプリ結合,60サイズ,ネコポス,5,0.799668,170,138,9
55,32455,30日 速攻ﾌﾞﾙｰﾍﾞﾘｰ,1,サプリ結合,60サイズ,ネコポス,5,0.799668,170,100,7
56,2157,30日 ﾛｰﾔﾙｾﾞﾘｰ 90粒,4,サプリ結合,60サイズ,ネコポス,4,0.641445,170,100,12
57,32455,30日 速攻ﾌﾞﾙｰﾍﾞﾘｰ,1,サプリ結合,60サイズ,ネコポス,5,0.629607,169,100,7
57,32568,30日 ﾛｺﾓﾜﾝ,1,サプリ結合,60サイズ,ネコポス,5,0.629607,85,45,45
57,32658,30日 ｲﾁｮｳ葉脳内α,2,サプリ結合,60サイズ,ネコポス,5,0.629607,168,99,9
57,32674,30日 DHA,1,サプリ結合,60サイズ,ネコポス,5,0.629607,170,138,9
58,538347604,骨盤ガードル・7分丈モカL,2,機械学習（60->ネコポス）,60サイズ,ネコポス,2,1.131962,200,180,20
59,23563,ﾊﾟｰﾌｪｸﾄUVｼﾞｪﾙ 80g,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,1.025029,152,52,42
59,539893203,デイリーユース・コットンショーツ (ボクサー)スモーキーグリーンM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,1.025029,180,180,10
59,539893203,デイリーユース・コットンショーツ (ボクサー)スモーキーグリーンM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,1.025029,180,180,10
59,539893203,デイリーユース・コットンショーツ (ボクサー)スモーキーグリーンM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,1.025029,180,180,10
60,536850400,泉州産・オーガニックタオル・バスマット・天然抗菌ピーチなし,1,機械学習（60->ネコポス）,60サイズ,ネコポス,1,0.943301,250,240,20
61,147454203,スリーブレスカットソー (LOC)オフホワイトM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,1,0.889061,390,290,10
62,2265,30日 γ-ﾄｺﾌｪﾛｰﾙ 30粒,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,0.870604,170,100,4
62,32393,30日 ﾓｲｽﾄｱｲﾍﾞﾘｰ,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,0.870604,170,100,10
62,540264300,キビソ・リッチなうるおいボディタオルアイボリーなし,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,0.870604,180,140,30
62,540615633,ぐーっぱっとひらくソックス (ハワイアン柄)ブルー系22-25cm,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,0.870604,220,129,4
63,539025203,ビューティクールインナー・タンクスモーキーブルーM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,2,0.743895,245,210,10
63,539027803,ビューティクールインナー・タンクグレージュM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,2,0.743895,217,199,10
64,32323,90日 通販 ｶﾙｼｳﾑ/ﾏｸﾞ,1,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.784245,170,138,31
64,70073,30日ｺｴﾝｻﾞｲﾑQ10還元型,2,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.784245,169,100,8
65,22931,薬用BBｸﾘｰﾑGEﾅﾁｭﾗﾙｵｰｸﾙ01,1,機械学習（60->ネコポス）,60サイズ,ネコポス,5,0.56061,133,36,36
65,70073,30日ｺｴﾝｻﾞｲﾑQ10還元型,4,機械学習（60->ネコポス）,60サイズ,ネコポス,5,0.56061,169,100,8
66,22572,CCﾊﾟｰﾌｪｸﾄｶﾗｰﾍﾞｰｽ GE ﾍﾞｰｼﾞｭ,1,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.524456,148,30,30
66,23571,ﾜﾝﾀﾞｰｶﾊﾞｰBBﾘｷｯﾄﾞ a ﾅﾁｭﾗﾙｵｰｸﾙ01 30g,1,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.524456,107,37,25
66,536557803,つめたッペチグレージュM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.524456,300,290,5
67,536557803,つめたッペチグレージュM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,1,0.341947,300,290,5
68,23028,ｻﾞﾗｲﾝｼｮｯﾄ,2,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.190014,125,28,27
68,71,ｱｲﾗｯｼｭﾄﾆｯｸ ,1,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.190014,101,29,18
70,23355,PANｵｲﾙﾌﾞﾛｯｸﾃﾞｲｾﾗﾑ,2,機械学習（60->ネコポス）,60サイズ,ネコポス,2,0.157217,50,50,40
71,897,ｴｯｾﾝｼｬﾙｵｲﾙ ﾗﾍﾞﾝﾀﾞｰ,3,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.133713,63,30,30
72,152607800,リュックになる肩掛けバッググレージュなし,1,機械学習（80->60）,80サイズ,60サイズ,2,3.665814,430,420,90
72,153048394,至福履き・もっちりクッションサンダルブラウン24.0cm,1,機械学習（80->60）,80サイズ,60サイズ,2,3.665814,320,285,100
73,152949492,こんなの欲しい・ヨコ伸びサンダルブラック23.0cm,1,機械学習（80->60）,80サイズ,60サイズ,2,2.035311,320,285,100
73,538267604,快4ブラモカL,1,機械学習（80->60）,80サイズ,60サイズ,2,2.035311,240,230,90
74,22146,薬用Qﾌｪｰｽﾐﾙｸ,1,機械学習（80->60）,80サイズ,60サイズ,5,1.72146,140,50,50
74,22911,ﾋﾟｭｱｶﾗｰ ﾘｯﾌﾟｸﾘｰﾑAP103,1,機械学習（80->60）,80サイズ,60サイズ,5,1.72146,83,17,17
74,23565,RTN ｴ-ｴｯｾﾝｽ 5g*3本,1,機械学習（80->60）,80サイズ,60サイズ,5,1.72146,105,96,20
74,540595104,風が通るメッシュブラサックスL,2,機械学習（80->60）,80サイズ,60サイズ,5,1.72146,350,270,60
75,150643100,たっぷり入るコンパクトショルダー (軽量)ミントなし,1,機械学習（80->60）,80サイズ,60サイズ,2,1.514261,240,185,81
