注文番号,商品コード,商品名,数量,種別,適用サイズ_実績,適用サイズ_予測,総数量,充填率,lx,ly,lz
021,539949403,お腹を細く見せるシェイプショーツブラックM,1,up（機械学習）,60サイズ,80サイズ,3,1.039904,250,230,10
022,148538223,落ち感タックキュロットモカブラウン9号,1,up（機械学習）,60サイズ,80サイズ,3,1.131395,430,325,20
022,151193224,吸水速乾さらさらパンツスモーキーグリーン11号,1,up（機械学習）,60サイズ,80サイズ,3,1.131395,390,295,40
022,153149103,着心地ラクなギャザーカットソー (接触冷感)ライトグレーM,1,up（機械学習）,60サイズ,80サイズ,3,1.131395,385,282,4
023,150695125,ストレッチツイルパンツ (LOC)サックス13号,1,up（機械学習）,60サイズ,80サイズ,5,1.211175,420,295,20
023,153068823,スラブダブルガーゼ・ドルマンシャツグレーストライプ9号,1,up（機械学習）,60サイズ,80サイズ,5,1.211175,420,295,15
023,539063104,ビューティクール・超大汗取りインナー・タンクミントL,1,up（機械学習）,60サイズ,80サイズ,5,1.211175,245,210,20
023,539063104,ビューティクール・超大汗取りインナー・タンクミントL,1,up（機械学習）,60サイズ,80サイズ,5,1.211175,245,210,20
023,539227803,胸を小さく見せるデオドラントブラグレージュM,1,up（機械学習）,60サイズ,80サイズ,5,1.211175,390,255,20
024,152607800,リュックになる肩掛けバッググレージュなし,1,up（機械学習）,80サイズ,100サイズ,2,1.255907,430,420,90
024,153284303,ストレッチレースカットソーアイボリーM,1,up（機械学習）,80サイズ,100サイズ,2,1.255907,390,295,20
025,23340,ﾌﾟﾚﾐｱﾑｶﾗｰﾄﾘｰﾄﾒﾝﾄ(ﾀﾞｰｸﾌﾞﾗｳﾝ),1,up（機械学習）,60サイズ,80サイズ,4,1.260751,220,63,50
025,535803104,着る・ガーゼケットのトップスミントL,1,up（機械学習）,60サイズ,80サイズ,4,1.260751,350,310,30
025,537727705,癒しのふわっとコットン・ナイトブラピンクベージュLL,1,up（機械学習）,60サイズ,80サイズ,4,1.260751,360,220,60
025,767,ｱｲﾌﾞﾛｰﾊﾟｰﾌｪｸﾄﾌﾟﾛ(ﾍﾟﾝｼﾙ)　EB01 ,1,up（機械学習）,60サイズ,80サイズ,4,1.260751,68,28,14
026,151022700,クールタオルガーゼ・ミニマフラーイエロー系なし,1,up（機械学習）,60サイズ,80サイズ,5,1.270368,186,168,7
026,151023200,クールタオルガーゼ・ミニマフラースモーキーグリーンなし,1,up（機械学習）,60サイズ,80サイズ,5,1.270368,186,168,7
026,22434,薬用Qｸｲｯｸｼﾞｪﾙ　ﾓｲｽﾄ&ﾎﾜｲﾄﾆﾝｸﾞ,1,up（機械学習）,60サイズ,80サイズ,5,1.270368,73,73,57
026,538067604,ヌードフィールブラモカL,1,up（機械学習）,60サイズ,80サイズ,5,1.270368,330,200,44
026,538067804,ヌードフィールブラグレージュL,1,up（機械学習）,60サイズ,80サイズ,5,1.270368,330,260,60
027,23569,ﾊﾟｰﾌｪｸﾄUVﾐﾙｸ　50ml,1,up（機械学習）,80サイズ,100サイズ,5,1.276269,97,52,30
027,2371,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄ専用ｼｪｰｶｰｺｯﾌﾟ,1,up（機械学習）,80サイズ,100サイズ,5,1.276269,192,87,87
027,539303105,綿混速乾ブラトップ・タンク (アンダーがラク仕様)ミントLL,1,up（機械学習）,80サイズ,100サイズ,5,1.276269,380,340,50
027,539303105,綿混速乾ブラトップ・タンク (アンダーがラク仕様)ミントLL,1,up（機械学習）,80サイズ,100サイズ,5,1.276269,380,340,50
027,32895,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄMCTﾌﾟﾗｽ,1,up（機械学習）,80サイズ,100サイズ,5,1.276269,210,165,125
028,147533422,ユースフル・綿サテン9分丈パンツグリーン7号,1,up（機械学習）,60サイズ,80サイズ,3,1.422175,400,295,35
028,147533422,ユースフル・綿サテン9分丈パンツグリーン7号,1,up（機械学習）,60サイズ,80サイズ,3,1.422175,400,295,35
028,539325103,速く乾くノンワイヤーブラサックスM,1,up（機械学習）,60サイズ,80サイズ,3,1.422175,360,220,20
029,149369903,滑りにくいソール・スリッポンシャンパンM,1,up（機械学習）,60サイズ,80サイズ,3,1.532197,320,290,105
029,540610633,ぐーっぱっとひらくソックス (ハワイアン柄)ピンク系22-25cm,1,up（機械学習）,60サイズ,80サイズ,3,1.532197,146,98,31
029,540618833,ぐーっぱっとひらくソックス (ハワイアン柄)グレー系22-25cm,1,up（機械学習）,60サイズ,80サイズ,3,1.532197,176,95,25
030,151083524,ストレッチツイルパンツカーキ11号,1,up（機械学習）,60サイズ,80サイズ,3,1.588461,450,295,40
030,151083524,ストレッチツイルパンツカーキ11号,1,up（機械学習）,60サイズ,80サイズ,3,1.588461,450,295,40
030,540213103,すーっと風通るガードルミントM,1,up（機械学習）,60サイズ,80サイズ,3,1.588461,250,150,10
031,152105435,イージーケア・カットジョーゼットパンツネイビーLL股下54cm,1,up（機械学習）,60サイズ,80サイズ,3,1.771408,410,295,50
031,152105435,イージーケア・カットジョーゼットパンツネイビーLL股下54cm,1,up（機械学習）,60サイズ,80サイズ,3,1.771408,410,295,50
031,32780,30日 大豆ｲｿﾌﾗﾎﾞﾝｴｸｵｰﾙ,1,up（機械学習）,60サイズ,80サイズ,3,1.771408,168,99,10
032,153048394,至福履き・もっちりクッションサンダルブラウン24.0cm,1,up（機械学習）,80サイズ,100サイズ,4,1.816091,320,285,100
032,153215623,ソフトダブルガーゼ・半袖マチ付きスキッパーシャツブルーストライプ9号,1,up（機械学習）,80サイズ,100サイズ,4,1.816091,450,295,15
032,539700200,骨盤底筋しめ活クッション (yurarix)ピンクなし,1,up（機械学習）,80サイズ,100サイズ,4,1.816091,450,340,90
032,540625634,5足組・くるぶし丈ソックス (ハワイアン柄)ブルー系23-25cm,1,up（機械学習）,80サイズ,100サイズ,4,1.816091,260,150,50
033,151169203,UV美肌シアーパーカーグレーM,1,up（GA）,100サイズ,,9,,310,220,25
033,152599200,整頓上手・10ポケットショルダーグレーなし,1,up（GA）,100サイズ,,9,,460,330,100
033,152637200,スマートに持てる格上げショルダーベージュなし,1,up（GA）,100サイズ,,9,,310,280,115
033,539313103,綿混速乾ブラトップ・キャミ (アンダーがラク仕様)ミントM,2,up（GA）,100サイズ,,9,,320,210,30
033,539318303,綿混速乾ブラトップ・キャミ (アンダーがラク仕様)ブラウンM,2,up（GA）,100サイズ,,9,,345,242,29
033,539319403,綿混速乾ブラトップ・キャミ (アンダーがラク仕様)ブラックM,2,up（GA）,100サイズ,,9,,348,263,26
034,153252203,ドライワッシャー・オーバーシャツテラコッタM,1,up（GA）,80サイズ,,8,,400,295,20
034,153252203,ドライワッシャー・オーバーシャツテラコッタM,1,up（GA）,80サイズ,,8,,400,295,20
034,153252203,ドライワッシャー・オーバーシャツテラコッタM,1,up（GA）,80サイズ,,8,,400,295,20
034,153262223,ドライワッシャー・バルーンワンピ-ステラコッタ9号,1,up（GA）,80サイズ,,8,,530,370,15
034,153275323,涼やかパンツ・ギャザーワイドブルー9号,1,up（GA）,80サイズ,,8,,400,350,25
034,153275323,涼やかパンツ・ギャザーワイドブルー9号,1,up（GA）,80サイズ,,8,,400,350,25
034,153275323,涼やかパンツ・ギャザーワイドブルー9号,1,up（GA）,80サイズ,,8,,400,350,25
034,153305323,軽やかシャーリングスカートブルー9号,1,up（GA）,80サイズ,,8,,520,370,25
035,150664204,ハーフスリーブカットソー (LOC)オフホワイトL,1,up（GA）,80サイズ,,8,,370,295,15
035,151022700,クールタオルガーゼ・ミニマフラーイエロー系なし,1,up（GA）,80サイズ,,8,,186,168,7
035,151025300,クールタオルガーゼ・ミニマフラーブルーなし,1,up（GA）,80サイズ,,8,,190,180,10
035,151395404,UV美肌・ノンアイロンコンビカーディガンネイビーL,1,up（GA）,80サイズ,,8,,340,250,20
035,152879100,蒸れにくい遮光つば広ハットライトグレーなし,1,up（GA）,80サイズ,,8,,350,320,120
035,153075404,さわやかメッシュプリーツパンツネイビーL,1,up（GA）,80サイズ,,8,,410,295,30
035,153216124,ソフトダブルガーゼ・半袖マチ付きスキッパーシャツラベンダー11号,1,up（GA）,80サイズ,,8,,450,295,15
035,537727705,癒しのふわっとコットン・ナイトブラピンクベージュLL,1,up（GA）,80サイズ,,8,,360,220,60
036,152879400,蒸れにくい遮光つば広ハットブラックなし,1,up（GA）,100サイズ,,6,,370,230,67
036,539477804,新感覚骨盤底筋ショーツ (yurari)グレージュL,3,up（GA）,100サイズ,,6,,250,200,20
036,539700200,骨盤底筋しめ活クッション (yurarix)ピンクなし,1,up（GA）,100サイズ,,6,,450,340,90
036,540708800,持ち歩ける氷のう (保冷ケース付き)グレー系なし,1,up（GA）,100サイズ,,6,,120,120,70
037,151083524,ストレッチツイルパンツカーキ11号,1,up（GA）,100サイズ,,8,,450,295,40
037,151083524,ストレッチツイルパンツカーキ11号,1,up（GA）,100サイズ,,8,,450,295,40
037,151089452,ストレッチツイルパンツブラック9号短め丈,1,up（GA）,100サイズ,,8,,450,295,40
037,152637200,スマートに持てる格上げショルダーベージュなし,1,up（GA）,100サイズ,,8,,310,280,115
037,152915402,ほぼ透けないモックネックカットソーネイビーS,1,up（GA）,100サイズ,,8,,400,295,20
037,153035402,足裏よろこぶフットベッドサンダルネイビーS,1,up（GA）,100サイズ,,8,,320,285,100
037,153145402,着心地ラクなギャザーカットソー (接触冷感)ネイビーS,1,up（GA）,100サイズ,,8,,370,295,20
037,153145402,着心地ラクなギャザーカットソー (接触冷感)ネイビーS,1,up（GA）,100サイズ,,8,,370,295,20
038,152415403,UV美肌・洗える綿混Vネックカーデ (遮熱)ネイビーM,1,up（GA）,100サイズ,,11,,420,295,20
038,152415403,UV美肌・洗える綿混Vネックカーデ (遮熱)ネイビーM,1,up（GA）,100サイズ,,11,,420,295,20
038,153184203,速乾アクアブリーズ・フレアカットソーオフホワイトM,1,up（GA）,100サイズ,,11,,390,295,15
038,23575,ﾃﾞｨｰﾌﾟ ｸﾚﾝｼﾞﾝｸﾞ ﾊﾞｰﾑ 90g,2,up（GA）,100サイズ,,11,,73,73,59
038,32675,30日 ｷﾞｬﾊﾞ(GABA),3,up（GA）,100サイズ,,11,,169,100,10
038,535077658,ソフトモールドブラモカC75,1,up（GA）,100サイズ,,11,,350,250,70
038,539700200,骨盤底筋しめ活クッション (yurarix)ピンクなし,1,up（GA）,100サイズ,,11,,450,340,90
038,897,ｴｯｾﾝｼｬﾙｵｲﾙ ﾗﾍﾞﾝﾀﾞｰ,1,up（GA）,100サイズ,,11,,63,30,30
039,153262223,ドライワッシャー・バルーンワンピ-ステラコッタ9号,1,up（GA）,80サイズ,,6,,530,370,15
039,2253,30日 香酢 90粒,4,up（GA）,80サイズ,,6,,170,100,9
039,536557803,つめたッペチグレージュM,1,up（GA）,80サイズ,,6,,300,290,5
040,22174,PAﾅﾉｺﾛｲﾄﾞﾐｽﾄ,5,up（GA）,60サイズ,,7,,178,178,178
040,22584,ｱｽﾀCｵｰﾙｲﾝﾜﾝｼﾞｪﾙ,1,up（GA）,60サイズ,,7,,77,76,60
040,23573,ﾜﾝﾀﾞｰｶﾊﾞｰﾌｨﾆｯｼﾝｸﾞﾊﾟｳﾀﾞｰ a 7g,1,up（GA）,60サイズ,,7,,72,72,28
041,151359422,ダブルクロス・フレアジレブラック7号,2,up（GA）,80サイズ,,6,,520,410,20
041,153184203,速乾アクアブリーズ・フレアカットソーオフホワイトM,1,up（GA）,80サイズ,,6,,390,295,15
041,153194205,速乾アクアブリーズ・タックカットソーオフホワイトLL,1,up（GA）,80サイズ,,6,,350,250,10
041,153209405,速乾アクアブリーズ・リラックスパンツブラックLL,1,up（GA）,80サイズ,,6,,400,295,30
041,540708800,持ち歩ける氷のう (保冷ケース付き)グレー系なし,1,up（GA）,80サイズ,,6,,120,120,70
042,70091,30日EPAﾌﾟﾚﾐｱﾑ,4,サプリ結合,60サイズ,ネコポス,4,1.622856,170,138,22
043,70091,30日EPAﾌﾟﾚﾐｱﾑ,4,サプリ結合,60サイズ,ネコポス,4,1.622856,170,138,22
044,32662,30日 ｸﾞﾙｺｻﾐﾝ2000,4,サプリ結合,60サイズ,ネコポス,4,1.475323,170,138,20
045,32674,30日 DHA,3,サプリ結合,60サイズ,ネコポス,5,1.309349,170,138,9
045,70091,30日EPAﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,5,1.309349,170,138,22
046,70091,30日EPAﾌﾟﾚﾐｱﾑ,3,サプリ結合,60サイズ,ネコポス,3,1.217142,170,138,22
047,32182,30日 醗酵黒ｾｻﾐﾝ+ｽﾀﾐﾅ,2,サプリ結合,60サイズ,ネコポス,4,1.224091,170,140,13
047,32662,30日 ｸﾞﾙｺｻﾐﾝ2000,2,サプリ結合,60サイズ,ネコポス,4,1.224091,170,138,20
048,32675,30日 ｷﾞｬﾊﾞ(GABA),3,サプリ結合,60サイズ,ネコポス,5,1.209973,169,100,10
048,70091,30日EPAﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,5,1.209973,170,138,22
049,32674,30日 DHA,2,サプリ結合,60サイズ,ネコポス,4,1.143376,170,138,9
049,70091,30日EPAﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,4,1.143376,170,138,22
050,2161,30日 ﾌﾞﾙｰﾍﾞﾘｰｴｷｽ 60粒,1,サプリ結合,60サイズ,ネコポス,5,1.129443,169,100,9
050,32675,30日 ｷﾞｬﾊﾞ(GABA),2,サプリ結合,60サイズ,ネコポス,5,1.129443,168,99,9
050,32576,30日 国産ﾊﾟｰﾌｪｸﾄ野菜ﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,5,1.129443,170,138,21
051,2216,30日 ﾆｭｰｽﾘﾑ 120粒,1,サプリ結合,60サイズ,ネコポス,3,1.035933,170,140,12
051,70091,30日EPAﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,3,1.035933,170,138,22
052,32165,30日 ﾋｱﾙﾛﾝ酸,1,サプリ結合,60サイズ,ネコポス,4,1.006943,169,100,5
052,32576,30日 国産ﾊﾟｰﾌｪｸﾄ野菜ﾌﾟﾚﾐｱﾑ,2,サプリ結合,60サイズ,ネコポス,4,1.006943,170,138,21
052,70086,30日ﾊﾟｰﾌｪｸﾄｻﾌﾟﾘ ﾏﾙﾁﾋﾞﾀﾐﾝ＆ﾐﾈﾗﾙ,1,サプリ結合,60サイズ,ネコポス,4,1.006943,170,138,9
053,32182,30日 醗酵黒ｾｻﾐﾝ+ｽﾀﾐﾅ,1,サプリ結合,60サイズ,ネコポス,5,1.029645,170,140,13
053,32194,30日 ｶﾙｼｳﾑ+CBP,1,サプリ結合,60サイズ,ネコポス,5,1.029645,169,100,12
053,32296,30日 ｵﾙﾆﾁﾝ,1,サプリ結合,60サイズ,ネコポス,5,1.029645,170,138,16
053,32674,30日 DHA,1,サプリ結合,60サイズ,ネコポス,5,1.029645,170,138,9
053,70086,30日ﾊﾟｰﾌｪｸﾄｻﾌﾟﾘ ﾏﾙﾁﾋﾞﾀﾐﾝ＆ﾐﾈﾗﾙ,1,サプリ結合,60サイズ,ネコポス,5,1.029645,170,138,9
054,32214,90日 通販 濃縮ｳｺﾝ,2,サプリ結合,60サイズ,ネコポス,4,0.80341,168,119,15
054,70086,30日ﾊﾟｰﾌｪｸﾄｻﾌﾟﾘ ﾏﾙﾁﾋﾞﾀﾐﾝ＆ﾐﾈﾗﾙ,2,サプリ結合,60サイズ,ネコポス,4,0.80341,170,138,9
055,32387,30日 肝臓ｴｷｽ+ｵﾙﾆﾁﾝ,2,サプリ結合,60サイズ,ネコポス,5,0.799668,170,140,10
055,32674,30日 DHA,2,サプリ結合,60サイズ,ネコポス,5,0.799668,170,138,9
055,32455,30日 速攻ﾌﾞﾙｰﾍﾞﾘｰ,1,サプリ結合,60サイズ,ネコポス,5,0.799668,170,100,7
056,2157,30日 ﾛｰﾔﾙｾﾞﾘｰ 90粒,4,サプリ結合,60サイズ,ネコポス,4,0.641445,170,100,12
057,32455,30日 速攻ﾌﾞﾙｰﾍﾞﾘｰ,1,サプリ結合,60サイズ,ネコポス,5,0.629607,169,100,7
057,32568,30日 ﾛｺﾓﾜﾝ,1,サプリ結合,60サイズ,ネコポス,5,0.629607,85,45,45
057,32658,30日 ｲﾁｮｳ葉脳内α,2,サプリ結合,60サイズ,ネコポス,5,0.629607,168,99,9
057,32674,30日 DHA,1,サプリ結合,60サイズ,ネコポス,5,0.629607,170,138,9
058,538347604,骨盤ガードル・7分丈モカL,2,機械学習（60->ネコポス）,60サイズ,ネコポス,2,1.131962,200,180,20
059,23563,ﾊﾟｰﾌｪｸﾄUVｼﾞｪﾙ 80g,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,1.025029,152,52,42
059,539893203,デイリーユース・コットンショーツ (ボクサー)スモーキーグリーンM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,1.025029,180,180,10
059,539893203,デイリーユース・コットンショーツ (ボクサー)スモーキーグリーンM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,1.025029,180,180,10
059,539893203,デイリーユース・コットンショーツ (ボクサー)スモーキーグリーンM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,1.025029,180,180,10
060,536850400,泉州産・オーガニックタオル・バスマット・天然抗菌ピーチなし,1,機械学習（60->ネコポス）,60サイズ,ネコポス,1,0.943301,250,240,20
061,147454203,スリーブレスカットソー (LOC)オフホワイトM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,1,0.889061,390,290,10
062,2265,30日 γ-ﾄｺﾌｪﾛｰﾙ 30粒,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,0.870604,170,100,4
062,32393,30日 ﾓｲｽﾄｱｲﾍﾞﾘｰ,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,0.870604,170,100,10
062,540264300,キビソ・リッチなうるおいボディタオルアイボリーなし,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,0.870604,180,140,30
062,540615633,ぐーっぱっとひらくソックス (ハワイアン柄)ブルー系22-25cm,1,機械学習（60->ネコポス）,60サイズ,ネコポス,4,0.870604,220,129,4
063,539025203,ビューティクールインナー・タンクスモーキーブルーM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,2,0.743895,245,210,10
063,539027803,ビューティクールインナー・タンクグレージュM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,2,0.743895,217,199,10
